"Day","Total Commercial","US <-> US","US <-> NON US","US <-> Europe","US <-> Latin America","US <-> Asia","US <-> China","Canada <-> Canada","Canada <-> NON Canada","Europe <-> Europe","Europe <-> NON Europe","Europe <-> UK","Europe <-> Asia","Europe <-> Latin America","UK <-> UK","UK <-> NON UK","Italy <-> Italy","Italy <-> NON Italy","China <-> China","China <-> NON China","Brazil <-> Brazil","Brazil <-> NON Brazil","India <-> India","India <-> NON India","Iran <-> Iran","Iran <-> NON Iran"
"2020-04-13","21837","8507","859","137","295","240","42","500","168","1137","863","132","291","19","52","238","26","72","4919","513","179","51","23","38","45","24"
"2020-04-12","20813","7518","804","170","260","228","44","304","155","938","982","135","355","23","33","266","19","62","5335","571","111","47","16","61","60","35"
"2020-04-11","21045","8760","877","164","280","255","52","303","173","842","960","128","368","22","21","250","50","82","4536","601","103","57","29","79","55","31"
"2020-04-10","24958","10329","977","176","315","237","48","524","220","1289","1038","164","361","26","69","290","47","107","5220","642","167","41","34","67","52","35"
"2020-04-09","25781","10673","1054","186","345","248","43","707","227","1523","1095","199","366","31","92","347","66","110","4506","554","176","68","38","83","35","29"
"2020-04-08","26996","11082","1122","176","433","228","47","742","224","1645","1086","209","341","27","89","340","64","121","4881","594","161","60","25","76","43","32"
"2020-04-07","26231","10662","1111","174","431","243","47","747","215","1578","1049","177","357","29","93","339","62","110","4640","547","164","67","45","53","42","28"
"2020-04-06","25427","9871","1005","173","399","210","44","595","202","1602","1014","198","300","26","79","321","59","109","4900","471","202","47","34","38","49","19"
"2020-04-05","23796","9746","974","184","377","204","42","440","207","1360","1103","231","364","35","44","365","58","99","3850","485","139","52","28","78","53","23"
"2020-04-04","23215","10209","1077","175","431","218","45","459","222","1146","1058","214","361","30","40","347","43","104","3309","533","106","42","37","76","48","27"
"2020-04-03","29088","11765","1234","194","470","246","50","716","279","1992","1241","284","334","43","100","440","52","118","4920","545","223","59","51","79","46","38"
"2020-04-02","28809","11883","1202","192","481","225","42","801","243","1971","1281","269","354","47","95","434","68","122","4319","508","187","70","43","67","43","39"
"2020-04-01","30979","13132","1239","187","486","240","57","898","264","2147","1369","262","355","44","106","431","63","135","4456","564","181","68","42","78","43","35"
"2020-03-31","31804","13416","1340","187","526","252","58","830","331","2206","1444","280","360","53","105","447","60","108","4552","546","211","77","49","60","34","12"
"2020-03-30","30564","12348","1248","189","538","241","41","756","283","2425","1477","311","328","56","112","460","58","114","4350","442","219","76","32","38","36","21"
"2020-03-29","31160","12624","1242","192","522","235","49","571","304","2245","1653","389","427","80","64","576","47","125","4882","453","157","69","29","49","46","42"
"2020-03-28","31708","12900","1468","221","650","283","62","637","343","2053","1840","332","485","125","79","573","50","114","4620","685","169","91","38","63","42","28"
"2020-03-27","37029","14463","1666","229","725","270","59","949","448","3343","2054","462","473","117","154","722","53","155","4627","694","328","104","40","55","38","26"
"2020-03-26","38625","15742","1842","281","782","283","57","1062","483","3301","2103","473","466","140","167","755","59","145","4284","645","349","114","71","51","40","33"
"2020-03-25","40312","16267","1938","260","873","276","53","1269","551","3353","2125","450","487","138","176","711","63","162","4605","664","352","104","59","72","37","35"
"2020-03-24","44553","17725","2231","253","1048","328","49","1376","650","3709","2238","596","549","176","235","943","70","160","4088","615","473","130","1407","128","38","33"
"2020-03-23","47041","17220","2470","254","1199","361","55","1554","794","4303","2332","795","558","187","336","1157","68","147","4342","625","781","181","1659","72","31","32"
"2020-03-22","51402","18024","3241","314","1690","375","48","1274","1182","5259","2804","1022","712","244","354","1441","50","132","4815","624","921","232","1437","134","43","34"
"2020-03-21","55009","19559","4056","336","2365","413","56","1343","1393","4851","3299","926","802","260","217","1514","59","147","4388","638","1393","286","2138","501","34","25"
"2020-03-20","66339","23004","4024","369","2019","453","60","1838","1540","8010","3707","1659","814","269","605","2345","64","212","4948","716","1537","313","2414","515","29","36"
"2020-03-19","68207","23973","4128","445","2024","468","48","2050","1512","8047","3844","1624","843","261","562","2370","65","214","4443","673","1583","328","2483","550","57","50"
"2020-03-18","71899","25295","4247","467","2073","447","55","2147","1559","8510","4191","1576","942","272","549","2271","73","199","4710","688","1558","330","2602","611","63","52"
"2020-03-17","76234","26848","4462","503","2164","437","44","2286","1668","9635","4495","1787","938","301","551","2617","80","225","4423","650","1867","369","2758","643","62","44"
"2020-03-16","82186","26646","4788","620","2335","448","40","2262","1727","12717","4849","2475","1072","330","655","3355","82","215","4675","624","2101","399","2937","734","51","53"
"2020-03-15","82924","24961","5034","716","2525","451","39","1873","1767","13660","5592","2702","1246","398","487","3633","74","217","5086","678","1879","437","2952","867","82","65"
"2020-03-14","80211","24631","5746","737","3110","491","54","1853","1850","12168","5891","2467","1333","407","315","3430","69","210","4296","662","1903","417","2936","929","59","41"
"2020-03-13","91950","28680","5383","845","2503","516","55","2418","1866","16696","5974","3056","1358","389","636","3999","120","660","4412","691","2286","406","3004","992","62","48"
"2020-03-12","91107","28704","5283","864","2411","479","40","2651","1769","15976","5779","2875","1317","370","621","3802","140","651","4079","635","2254","443","2995","996","69","58"
"2020-03-11","89254","27537","5059","794","2318","481","53","2626","1713","15456","5565","2555","1314","345","541","3377","216","658","4344","654","2248","393","3022","1037","78","55"
"2020-03-10","88130","27429","4972","776","2290","469","48","2559","1711","15650","5618","2632","1275","366","522","3542","346","977","3998","705","2257","402","2876","969","71","42"
"2020-03-09","91299","26761","5134","848","2340","480","47","2612","1809","17923","5785","3206","1284","363","637","4091","439","1453","4257","553","2291","419","2935","960","70","45"
"2020-03-08","86516","26191","5381","843","2609","486","49","1950","1852","16943","6184","3196","1428","412","457","4080","442","1718","3076","533","1928","445","2813","1080","69","58"
"2020-03-07","81376","24322","5857","933","3032","546","49","1783","1807","14557","6671","2806","1488","424","292","3831","387","1689","2624","537","1907","431","2761","1095","68","49"
"2020-03-06","92156","28299","5421","871","2434","537","45","2570","1867","18982","6147","3275","1431","403","595","4205","497","1914","2917","595","2177","423","2819","1143","67","50"
"2020-03-05","90484","28119","5297","878","2415","513","35","2611","1746","17936","5910","3020","1410","379","548","3941","480","1724","2717","552","2156","440","2867","1098","58","52"
"2020-03-04","89081","27325","5091","842","2307","510","43","2557","1694","17655","5664","2823","1427","343","706","3650","458","1692","2893","589","2157","384","2913","1129","71","64"
"2020-03-03","88294","27214","4981","812","2244","498","43","2535","1681","17255","5739","2806","1376","368","712","3743","445","1730","3053","539","2212","411","2775","1062","69","46"
"2020-03-02","90425","26346","5049","864","2265","512","39","2472","1780","19026","5825","3241","1375","377","778","4110","501","2053","3222","534","2254","462","2859","1096","62","62"
"2020-03-01","86833","23634","5199","899","2474","528","38","1890","1797","18069","6359","3339","1530","430","620","4234","478","2083","3385","601","1913","465","2832","1171","77","65"
"2020-02-29","82554","23690","5593","871","2880","561","47","1876","1748","15204","6649","2881","1589","435","395","3868","406","1960","2637","539","1761","466","2868","1180","72","70"
"2020-02-28","93729","28136","5375","871","2418","561","41","2453","1805","19736","6275","3394","1596","413","791","4317","565","2242","2554","616","2031","432","2902","1225","88","77"
"2020-02-27","91030","28016","5100","860","2389","544","44","2222","1560","18582","5906","3112","1484","394","796","4026","564","2016","2101","542","2091","439","2856","1142","69","79"
"2020-02-26","89559","27309","4996","806","2292","528","42","2485","1625","17814","5693","2875","1492","354","718","3736","520","1921","2228","536","2203","428","2894","1169","96","88"
"2020-02-25","87923","27183","4918","785","2202","515","35","2565","1665","17194","5939","2861","1445","381","760","3845","340","1823","2120","500","1703","410","2798","1120","109","109"
"2020-02-24","89135","26323","5127","857","2314","511","37","2550","1743","19200","6022","3312","1419","370","767","4200","605","2256","1953","480","1345","416","2832","1128","99","149"
"2020-02-23","84828","23719","5217","919","2481","515","31","1886","1705","18118","6173","3367","1585","421","590","4278","551","2234","2127","519","1256","430","2771","1174","96","162"
"2020-02-22","82522","23766","5673","879","2892","562","45","1832","1768","15557","6735","3027","1618","441","415","4033","460","2070","1701","500","1879","459","2809","1186","106","155"
