Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities,DepartureFlight
1,,Afghanistan,2020-01-22,0.0,0.0,9
2,,Afghanistan,2020-01-23,0.0,0.0,11
3,,Afghanistan,2020-01-24,0.0,0.0,10
4,,Afghanistan,2020-01-25,0.0,0.0,10
5,,Afghanistan,2020-01-26,0.0,0.0,12
6,,Afghanistan,2020-01-27,0.0,0.0,9
7,,Afghanistan,2020-01-28,0.0,0.0,12
8,,Afghanistan,2020-01-29,0.0,0.0,9
9,,Afghanistan,2020-01-30,0.0,0.0,10
10,,Afghanistan,2020-01-31,0.0,0.0,0
11,,Afghanistan,2020-02-01,0.0,0.0,12
12,,Afghanistan,2020-02-02,0.0,0.0,10
13,,Afghanistan,2020-02-03,0.0,0.0,9
14,,Afghanistan,2020-02-04,0.0,0.0,10
15,,Afghanistan,2020-02-05,0.0,0.0,9
16,,Afghanistan,2020-02-06,0.0,0.0,12
17,,Afghanistan,2020-02-07,0.0,0.0,11
18,,Afghanistan,2020-02-08,0.0,0.0,12
19,,Afghanistan,2020-02-09,0.0,0.0,12
20,,Afghanistan,2020-02-10,0.0,0.0,9
21,,Afghanistan,2020-02-11,0.0,0.0,13
22,,Afghanistan,2020-02-12,0.0,0.0,9
23,,Afghanistan,2020-02-13,0.0,0.0,13
24,,Afghanistan,2020-02-14,0.0,0.0,11
25,,Afghanistan,2020-02-15,0.0,0.0,11
26,,Afghanistan,2020-02-16,0.0,0.0,12
27,,Afghanistan,2020-02-17,0.0,0.0,9
28,,Afghanistan,2020-02-18,0.0,0.0,13
29,,Afghanistan,2020-02-19,0.0,0.0,9
30,,Afghanistan,2020-02-20,0.0,0.0,0
31,,Afghanistan,2020-02-21,0.0,0.0,11
32,,Afghanistan,2020-02-22,0.0,0.0,11
33,,Afghanistan,2020-02-23,0.0,0.0,12
34,,Afghanistan,2020-02-24,1.0,0.0,9
35,,Afghanistan,2020-02-25,1.0,0.0,13
36,,Afghanistan,2020-02-26,1.0,0.0,10
37,,Afghanistan,2020-02-27,1.0,0.0,12
38,,Afghanistan,2020-02-28,1.0,0.0,9
39,,Afghanistan,2020-02-29,1.0,0.0,10
40,,Afghanistan,2020-03-01,1.0,0.0,11
41,,Afghanistan,2020-03-02,1.0,0.0,9
42,,Afghanistan,2020-03-03,1.0,0.0,12
43,,Afghanistan,2020-03-04,1.0,0.0,9
44,,Afghanistan,2020-03-05,1.0,0.0,12
45,,Afghanistan,2020-03-06,1.0,0.0,11
46,,Afghanistan,2020-03-07,1.0,0.0,11
47,,Afghanistan,2020-03-08,4.0,0.0,11
48,,Afghanistan,2020-03-09,4.0,0.0,10
49,,Afghanistan,2020-03-10,5.0,0.0,12
50,,Afghanistan,2020-03-11,7.0,0.0,9
51,,Afghanistan,2020-03-12,7.0,0.0,9
52,,Afghanistan,2020-03-13,7.0,0.0,10
53,,Afghanistan,2020-03-14,11.0,0.0,10
54,,Afghanistan,2020-03-15,16.0,0.0,9
55,,Afghanistan,2020-03-16,21.0,0.0,9
56,,Afghanistan,2020-03-17,22.0,0.0,10
57,,Afghanistan,2020-03-18,22.0,0.0,5
58,,Afghanistan,2020-03-19,22.0,0.0,4
59,,Afghanistan,2020-03-20,24.0,0.0,5
60,,Afghanistan,2020-03-21,24.0,0.0,4
61,,Afghanistan,2020-03-22,40.0,1.0,5
62,,Afghanistan,2020-03-23,40.0,1.0,6
63,,Afghanistan,2020-03-24,74.0,1.0,5
64,,Afghanistan,2020-03-25,84.0,2.0,0
65,,Afghanistan,2020-03-26,94.0,4.0,1
66,,Afghanistan,2020-03-27,110.0,4.0,0
