Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities,DepartureFlight,ElderlyPopulation 
1,,Afghanistan,2020-01-22,0.0,0.0,9,4.2
2,,Afghanistan,2020-01-23,0.0,0.0,11,4.2
3,,Afghanistan,2020-01-24,0.0,0.0,10,4.2
4,,Afghanistan,2020-01-25,0.0,0.0,10,4.2
5,,Afghanistan,2020-01-26,0.0,0.0,12,4.2
6,,Afghanistan,2020-01-27,0.0,0.0,9,4.2
7,,Afghanistan,2020-01-28,0.0,0.0,12,4.2
8,,Afghanistan,2020-01-29,0.0,0.0,9,4.2
9,,Afghanistan,2020-01-30,0.0,0.0,10,4.2
10,,Afghanistan,2020-01-31,0.0,0.0,0,4.2
11,,Afghanistan,2020-02-01,0.0,0.0,12,4.2
12,,Afghanistan,2020-02-02,0.0,0.0,10,4.2
13,,Afghanistan,2020-02-03,0.0,0.0,9,4.2
14,,Afghanistan,2020-02-04,0.0,0.0,10,4.2
15,,Afghanistan,2020-02-05,0.0,0.0,9,4.2
16,,Afghanistan,2020-02-06,0.0,0.0,12,4.2
17,,Afghanistan,2020-02-07,0.0,0.0,11,4.2
18,,Afghanistan,2020-02-08,0.0,0.0,12,4.2
19,,Afghanistan,2020-02-09,0.0,0.0,12,4.2
20,,Afghanistan,2020-02-10,0.0,0.0,9,4.2
21,,Afghanistan,2020-02-11,0.0,0.0,13,4.2
22,,Afghanistan,2020-02-12,0.0,0.0,9,4.2
23,,Afghanistan,2020-02-13,0.0,0.0,13,4.2
24,,Afghanistan,2020-02-14,0.0,0.0,11,4.2
25,,Afghanistan,2020-02-15,0.0,0.0,11,4.2
26,,Afghanistan,2020-02-16,0.0,0.0,12,4.2
27,,Afghanistan,2020-02-17,0.0,0.0,9,4.2
28,,Afghanistan,2020-02-18,0.0,0.0,13,4.2
29,,Afghanistan,2020-02-19,0.0,0.0,9,4.2
30,,Afghanistan,2020-02-20,0.0,0.0,0,4.2
31,,Afghanistan,2020-02-21,0.0,0.0,11,4.2
32,,Afghanistan,2020-02-22,0.0,0.0,11,4.2
33,,Afghanistan,2020-02-23,0.0,0.0,12,4.2
34,,Afghanistan,2020-02-24,1.0,0.0,9,4.2
35,,Afghanistan,2020-02-25,1.0,0.0,13,4.2
36,,Afghanistan,2020-02-26,1.0,0.0,10,4.2
37,,Afghanistan,2020-02-27,1.0,0.0,12,4.2
38,,Afghanistan,2020-02-28,1.0,0.0,9,4.2
39,,Afghanistan,2020-02-29,1.0,0.0,10,4.2
40,,Afghanistan,2020-03-01,1.0,0.0,11,4.2
41,,Afghanistan,2020-03-02,1.0,0.0,9,4.2
42,,Afghanistan,2020-03-03,1.0,0.0,12,4.2
43,,Afghanistan,2020-03-04,1.0,0.0,9,4.2
44,,Afghanistan,2020-03-05,1.0,0.0,12,4.2
45,,Afghanistan,2020-03-06,1.0,0.0,11,4.2
46,,Afghanistan,2020-03-07,1.0,0.0,11,4.2
47,,Afghanistan,2020-03-08,4.0,0.0,11,4.2
48,,Afghanistan,2020-03-09,4.0,0.0,10,4.2
49,,Afghanistan,2020-03-10,5.0,0.0,12,4.2
50,,Afghanistan,2020-03-11,7.0,0.0,9,4.2
51,,Afghanistan,2020-03-12,7.0,0.0,9,4.2
52,,Afghanistan,2020-03-13,7.0,0.0,10,4.2
53,,Afghanistan,2020-03-14,11.0,0.0,10,4.2
54,,Afghanistan,2020-03-15,16.0,0.0,9,4.2
55,,Afghanistan,2020-03-16,21.0,0.0,9,4.2
56,,Afghanistan,2020-03-17,22.0,0.0,10,4.2
57,,Afghanistan,2020-03-18,22.0,0.0,5,4.2
58,,Afghanistan,2020-03-19,22.0,0.0,4,4.2
59,,Afghanistan,2020-03-20,24.0,0.0,5,4.2
60,,Afghanistan,2020-03-21,24.0,0.0,4,4.2
61,,Afghanistan,2020-03-22,40.0,1.0,5,4.2
