Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities,DepartureFlight,ElderlyPopulation ,HospitalBeds
1,,Afghanistan,2020/1/22,0,0,9,4.2,3.9
2,,Afghanistan,2020/1/23,0,0,11,4.2,3.9
3,,Afghanistan,2020/1/24,0,0,10,4.2,3.9
4,,Afghanistan,2020/1/25,0,0,10,4.2,3.9
5,,Afghanistan,2020/1/26,0,0,12,4.2,3.9
6,,Afghanistan,2020/1/27,0,0,9,4.2,3.9
7,,Afghanistan,2020/1/28,0,0,12,4.2,3.9
8,,Afghanistan,2020/1/29,0,0,9,4.2,3.9
9,,Afghanistan,2020/1/30,0,0,10,4.2,3.9
10,,Afghanistan,2020/1/31,0,0,0,4.2,3.9
11,,Afghanistan,2020/2/1,0,0,12,4.2,3.9
12,,Afghanistan,2020/2/2,0,0,10,4.2,3.9
13,,Afghanistan,2020/2/3,0,0,9,4.2,3.9
14,,Afghanistan,2020/2/4,0,0,10,4.2,3.9
15,,Afghanistan,2020/2/5,0,0,9,4.2,3.9
16,,Afghanistan,2020/2/6,0,0,12,4.2,3.9
17,,Afghanistan,2020/2/7,0,0,11,4.2,3.9
18,,Afghanistan,2020/2/8,0,0,12,4.2,3.9
19,,Afghanistan,2020/2/9,0,0,12,4.2,3.9
20,,Afghanistan,2020/2/10,0,0,9,4.2,3.9
21,,Afghanistan,2020/2/11,0,0,13,4.2,3.9
22,,Afghanistan,2020/2/12,0,0,9,4.2,3.9
23,,Afghanistan,2020/2/13,0,0,13,4.2,3.9
24,,Afghanistan,2020/2/14,0,0,11,4.2,3.9
25,,Afghanistan,2020/2/15,0,0,11,4.2,3.9
26,,Afghanistan,2020/2/16,0,0,12,4.2,3.9
27,,Afghanistan,2020/2/17,0,0,9,4.2,3.9
28,,Afghanistan,2020/2/18,0,0,13,4.2,3.9
29,,Afghanistan,2020/2/19,0,0,9,4.2,3.9
30,,Afghanistan,2020/2/20,0,0,0,4.2,3.9
31,,Afghanistan,2020/2/21,0,0,11,4.2,3.9
32,,Afghanistan,2020/2/22,0,0,11,4.2,3.9
33,,Afghanistan,2020/2/23,0,0,12,4.2,3.9
34,,Afghanistan,2020/2/24,1,0,9,4.2,3.9
35,,Afghanistan,2020/2/25,1,0,13,4.2,3.9
36,,Afghanistan,2020/2/26,1,0,10,4.2,3.9
37,,Afghanistan,2020/2/27,1,0,12,4.2,3.9
38,,Afghanistan,2020/2/28,1,0,9,4.2,3.9
39,,Afghanistan,2020/2/29,1,0,10,4.2,3.9
40,,Afghanistan,2020/3/1,1,0,11,4.2,3.9
41,,Afghanistan,2020/3/2,1,0,9,4.2,3.9
42,,Afghanistan,2020/3/3,1,0,12,4.2,3.9
43,,Afghanistan,2020/3/4,1,0,9,4.2,3.9
44,,Afghanistan,2020/3/5,1,0,12,4.2,3.9
45,,Afghanistan,2020/3/6,1,0,11,4.2,3.9
46,,Afghanistan,2020/3/7,1,0,11,4.2,3.9
47,,Afghanistan,2020/3/8,4,0,11,4.2,3.9
48,,Afghanistan,2020/3/9,4,0,10,4.2,3.9
49,,Afghanistan,2020/3/10,5,0,12,4.2,3.9
50,,Afghanistan,2020/3/11,7,0,9,4.2,3.9
51,,Afghanistan,2020/3/12,7,0,9,4.2,3.9
52,,Afghanistan,2020/3/13,7,0,10,4.2,3.9
53,,Afghanistan,2020/3/14,11,0,10,4.2,3.9
54,,Afghanistan,2020/3/15,16,0,9,4.2,3.9
55,,Afghanistan,2020/3/16,21,0,9,4.2,3.9
56,,Afghanistan,2020/3/17,22,0,10,4.2,3.9
57,,Afghanistan,2020/3/18,22,0,5,4.2,3.9
58,,Afghanistan,2020/3/19,22,0,4,4.2,3.9
59,,Afghanistan,2020/3/20,24,0,5,4.2,3.9
60,,Afghanistan,2020/3/21,24,0,4,4.2,3.9
61,,Afghanistan,2020/3/22,40,1,5,4.2,3.9
62,,Afghanistan,2020/3/23,40,1,6,4.2,3.9
63,,Afghanistan,2020/3/24,74,1,5,4.2,3.9
64,,Afghanistan,2020/3/25,84,2,0,4.2,3.9
65,,Afghanistan,2020/3/26,94,4,1,4.2,3.9
66,,Afghanistan,2020/3/27,110,4,0,4.2,3.9
67,,Afghanistan,2020/3/28,110,4,1,4.2,3.9
68,,Afghanistan,2020/3/29,120,4,0,4.2,3.9
69,,Afghanistan,2020/3/30,170,4,1,4.2,3.9
70,,Afghanistan,2020/3/31,174,4,0,4.2,3.9
71,,Afghanistan,2020/4/1,237,4,1,4.2,3.9
72,,Afghanistan,2020/4/2,273,6,0,4.2,3.9
73,,Afghanistan,2020/4/3,281,6,1,4.2,3.9
74,,Afghanistan,2020/4/4,299,7,0,4.2,3.9
75,,Afghanistan,2020/4/5,349,7,2,4.2,3.9
76,,Afghanistan,2020/4/6,367,11,0,4.2,3.9
77,,Afghanistan,2020/4/7,423,14,1,4.2,3.9
78,,Afghanistan,2020/4/8,444,14,0,4.2,3.9
79,,Afghanistan,2020/4/9,484,15,0,4.2,3.9
80,,Afghanistan,2020/4/10,521,15,0,4.2,3.9
81,,Afghanistan,2020/4/11,555,18,0,4.2,3.9
82,,Afghanistan,2020/4/12,607,18,0,4.2,3.9
83,,Afghanistan,2020/4/13,665,21,1,4.2,3.9
115,,Albania,2020/1/22,0,0,18,21.2,28.897
116,,Albania,2020/1/23,0,0,20,21.2,28.897
117,,Albania,2020/1/24,0,0,23,21.2,28.897
118,,Albania,2020/1/25,0,0,17,21.2,28.897
119,,Albania,2020/1/26,0,0,21,21.2,28.897
120,,Albania,2020/1/27,0,0,22,21.2,28.897
121,,Albania,2020/1/28,0,0,16,21.2,28.897
122,,Albania,2020/1/29,0,0,15,21.2,28.897
123,,Albania,2020/1/30,0,0,20,21.2,28.897
124,,Albania,2020/1/31,0,0,0,21.2,28.897
125,,Albania,2020/2/1,0,0,20,21.2,28.897
126,,Albania,2020/2/2,0,0,16,21.2,28.897
127,,Albania,2020/2/3,0,0,21,21.2,28.897
128,,Albania,2020/2/4,0,0,18,21.2,28.897
129,,Albania,2020/2/5,0,0,15,21.2,28.897
130,,Albania,2020/2/6,0,0,19,21.2,28.897
131,,Albania,2020/2/7,0,0,22,21.2,28.897
132,,Albania,2020/2/8,0,0,17,21.2,28.897
133,,Albania,2020/2/9,0,0,18,21.2,28.897
134,,Albania,2020/2/10,0,0,28,21.2,28.897
135,,Albania,2020/2/11,0,0,18,21.2,28.897
136,,Albania,2020/2/12,0,0,20,21.2,28.897
137,,Albania,2020/2/13,0,0,25,21.2,28.897
138,,Albania,2020/2/14,0,0,24,21.2,28.897
139,,Albania,2020/2/15,0,0,18,21.2,28.897
140,,Albania,2020/2/16,0,0,22,21.2,28.897
141,,Albania,2020/2/17,0,0,25,21.2,28.897
142,,Albania,2020/2/18,0,0,16,21.2,28.897
143,,Albania,2020/2/19,0,0,19,21.2,28.897
144,,Albania,2020/2/20,0,0,0,21.2,28.897
145,,Albania,2020/2/21,0,0,24,21.2,28.897
146,,Albania,2020/2/22,0,0,17,21.2,28.897
147,,Albania,2020/2/23,0,0,21,21.2,28.897
148,,Albania,2020/2/24,0,0,24,21.2,28.897
149,,Albania,2020/2/25,0,0,15,21.2,28.897
150,,Albania,2020/2/26,0,0,20,21.2,28.897
151,,Albania,2020/2/27,0,0,27,21.2,28.897
152,,Albania,2020/2/28,0,0,26,21.2,28.897
153,,Albania,2020/2/29,0,0,20,21.2,28.897
154,,Albania,2020/3/1,0,0,23,21.2,28.897
155,,Albania,2020/3/2,0,0,28,21.2,28.897
156,,Albania,2020/3/3,0,0,18,21.2,28.897
157,,Albania,2020/3/4,0,0,20,21.2,28.897
158,,Albania,2020/3/5,0,0,19,21.2,28.897
159,,Albania,2020/3/6,0,0,28,21.2,28.897
160,,Albania,2020/3/7,0,0,16,21.2,28.897
161,,Albania,2020/3/8,0,0,20,21.2,28.897
162,,Albania,2020/3/9,2,0,19,21.2,28.897
163,,Albania,2020/3/10,10,0,10,21.2,28.897
164,,Albania,2020/3/11,12,1,10,21.2,28.897
165,,Albania,2020/3/12,23,1,13,21.2,28.897
166,,Albania,2020/3/13,33,1,16,21.2,28.897
167,,Albania,2020/3/14,38,1,9,21.2,28.897
168,,Albania,2020/3/15,42,1,7,21.2,28.897
169,,Albania,2020/3/16,51,1,10,21.2,28.897
170,,Albania,2020/3/17,55,1,5,21.2,28.897
171,,Albania,2020/3/18,59,2,5,21.2,28.897
172,,Albania,2020/3/19,64,2,5,21.2,28.897
173,,Albania,2020/3/20,70,2,4,21.2,28.897
174,,Albania,2020/3/21,76,2,3,21.2,28.897
175,,Albania,2020/3/22,89,2,1,21.2,28.897
176,,Albania,2020/3/23,104,4,0,21.2,28.897
177,,Albania,2020/3/24,123,5,0,21.2,28.897
178,,Albania,2020/3/25,146,5,0,21.2,28.897
179,,Albania,2020/3/26,174,6,0,21.2,28.897
180,,Albania,2020/3/27,186,8,0,21.2,28.897
181,,Albania,2020/3/28,197,10,0,21.2,28.897
182,,Albania,2020/3/29,212,10,0,21.2,28.897
183,,Albania,2020/3/30,223,11,0,21.2,28.897
184,,Albania,2020/3/31,243,15,0,21.2,28.897
185,,Albania,2020/4/1,259,15,0,21.2,28.897
186,,Albania,2020/4/2,277,16,0,21.2,28.897
187,,Albania,2020/4/3,304,17,0,21.2,28.897
188,,Albania,2020/4/4,333,20,0,21.2,28.897
189,,Albania,2020/4/5,361,20,0,21.2,28.897
190,,Albania,2020/4/6,377,21,0,21.2,28.897
191,,Albania,2020/4/7,383,22,0,21.2,28.897
192,,Albania,2020/4/8,400,22,0,21.2,28.897
193,,Albania,2020/4/9,409,23,0,21.2,28.897
194,,Albania,2020/4/10,416,23,0,21.2,28.897
195,,Albania,2020/4/11,433,23,0,21.2,28.897
196,,Albania,2020/4/12,446,23,0,21.2,28.897
197,,Albania,2020/4/13,467,23,0,21.2,28.897
229,,Algeria,2020/1/22,0,0,66,9.9,19
230,,Algeria,2020/1/23,0,0,76,9.9,19
231,,Algeria,2020/1/24,0,0,73,9.9,19
232,,Algeria,2020/1/25,0,0,78,9.9,19
233,,Algeria,2020/1/26,0,0,77,9.9,19
234,,Algeria,2020/1/27,0,0,71,9.9,19
235,,Algeria,2020/1/28,0,0,71,9.9,19
236,,Algeria,2020/1/29,0,0,69,9.9,19
237,,Algeria,2020/1/30,0,0,77,9.9,19
238,,Algeria,2020/1/31,0,0,0,9.9,19
239,,Algeria,2020/2/1,0,0,77,9.9,19
240,,Algeria,2020/2/2,0,0,77,9.9,19
241,,Algeria,2020/2/3,0,0,71,9.9,19
242,,Algeria,2020/2/4,0,0,70,9.9,19
243,,Algeria,2020/2/5,0,0,73,9.9,19
244,,Algeria,2020/2/6,0,0,78,9.9,19
245,,Algeria,2020/2/7,0,0,70,9.9,19
246,,Algeria,2020/2/8,0,0,74,9.9,19
247,,Algeria,2020/2/9,0,0,75,9.9,19
248,,Algeria,2020/2/10,0,0,74,9.9,19
249,,Algeria,2020/2/11,0,0,68,9.9,19
250,,Algeria,2020/2/12,0,0,71,9.9,19
251,,Algeria,2020/2/13,0,0,79,9.9,19
252,,Algeria,2020/2/14,0,0,77,9.9,19
253,,Algeria,2020/2/15,0,0,74,9.9,19
254,,Algeria,2020/2/16,0,0,77,9.9,19
255,,Algeria,2020/2/17,0,0,54,9.9,19
256,,Algeria,2020/2/18,0,0,51,9.9,19
257,,Algeria,2020/2/19,0,0,53,9.9,19
258,,Algeria,2020/2/20,0,0,0,9.9,19
259,,Algeria,2020/2/21,0,0,73,9.9,19
260,,Algeria,2020/2/22,0,0,77,9.9,19
261,,Algeria,2020/2/23,0,0,75,9.9,19
262,,Algeria,2020/2/24,0,0,76,9.9,19
263,,Algeria,2020/2/25,1,0,70,9.9,19
264,,Algeria,2020/2/26,1,0,74,9.9,19
265,,Algeria,2020/2/27,1,0,79,9.9,19
266,,Algeria,2020/2/28,1,0,79,9.9,19
267,,Algeria,2020/2/29,1,0,77,9.9,19
268,,Algeria,2020/3/1,1,0,79,9.9,19
269,,Algeria,2020/3/2,3,0,74,9.9,19
270,,Algeria,2020/3/3,5,0,69,9.9,19
271,,Algeria,2020/3/4,12,0,71,9.9,19
272,,Algeria,2020/3/5,12,0,80,9.9,19
273,,Algeria,2020/3/6,17,0,75,9.9,19
274,,Algeria,2020/3/7,17,0,75,9.9,19
275,,Algeria,2020/3/8,19,0,78,9.9,19
276,,Algeria,2020/3/9,20,0,71,9.9,19
277,,Algeria,2020/3/10,20,0,66,9.9,19
278,,Algeria,2020/3/11,20,0,68,9.9,19
279,,Algeria,2020/3/12,24,1,73,9.9,19
280,,Algeria,2020/3/13,26,2,64,9.9,19
281,,Algeria,2020/3/14,37,3,55,9.9,19
282,,Algeria,2020/3/15,48,4,48,9.9,19
283,,Algeria,2020/3/16,54,4,35,9.9,19
284,,Algeria,2020/3/17,60,4,28,9.9,19
285,,Algeria,2020/3/18,74,7,2,9.9,19
